2011 January,,2011 February,,2011 March,,2011 April,,2011 May,,2011 Jun,,2011 July,,2011 Auguest,,2011 September,,2011 October,,2011 November,,2011 December,,2012 January,,2012 February,,2012 March,,2012 April,,2012 May,,2012 Jun,,2012 July,, 2012 Auguest,,2012 September,,2012 October,,2012 November,,2012 December,,2013 January,,2013 February,,2013 March,,2013 April,,2013 May,,2013 Jun,,2013 July,,2013 Auguest,,2013 September,,2013 October,,2013 November,,2013 December,,2014 January,,2013 February,,2014 March,,2014 April,,2014 May,,2014 Jun,,2014 May,,2014 Jun,,2014 July,,2014 Auguest,,2014 September,,2014 October,,2014 November,,2014 December,,2015 January,,2015 February,,2015 March,,2015 April,,2015 May,,2015 June,,2015 July,,2015 Auguest,,2015 September,,2015 October,,2015 November,,2015 December,
,,,,,,,,,,Malta,7,,,,,,,,,,,,,,,Yemen,1,Armenia,1,Northern Mariana Islands,2,,,United Arab Emirates,1,Iran,3,Kuwait,3,Mauritania,1,Saudi Arabia,4,Russia,37,Mali,7,Armenia,2,China,2,Japan,5,Egypt,3,Chad,3,Bahrain,2,Puerto Rico,4,Brazil,3,New Zealand,14,Austria,8,Czechoslovakia,2,Kuwait,11,Israel,39,France,2,United Arab Emirates,2,Thailand,1,Saudi Arabia,4,France,2,Saudi Arabia,4,France,2,Russia,1,Bahrain,1,Sweden,7,Germany,58,Netherlands,2,Yemen,1,Oman,1,Denmark,2,United States,19,West Bank,11,Denmark,7,Indonesia,1,Afghanistan,16,New Zealand,4,Iran,51,Italy,21,Greece,128,Cuba,15
,,,,,,,,,,United States,13,,,,,,,,,,,,,,,West Bank,1,Saudi Arabia,3,Tunisia,1,,,Kuwait,5,North Korea,1,Libya,1,Italy,7,Somalia,2,Somalia,7,Venezuela,1,Kuwait,21,Saudi Arabia,4,Georgia,3,North Korea,1,Mauritania,1,Libya,12,United Kingdom,14,China,4,West Bank,3,Cuba,2,Cuba,2,Malta,3,Iran,8,Czech Republic,6,Iraq,29,Pakistan,4,Russia,3,Egypt,8,Russia,3,Egypt,8,Malta,2,Iran,11,Israel,12,Paraguay,1,Turkmenistan,1,Philippines,2,Afghanistan,6,Australia,3,Canada,8,Libya,4,Germany,22,Andorra,1,Brazil,2,Italy,11,Italy,44,Iran,11,Yemen,7,Jersey,12
,,,,,,,,,,Iran,2,,,,,,,,,,,,,,,Iran,2,Italy,1,United Kingdom,4,,,,,Egypt,5,Albania,1,United Kingdom,2,West Bank,2,Switzerland,7,France,5,Libya,12,Ethiopia,3,Philippines,1,Saudi Arabia,1,Morocco,7,Mali,1,France,6,Brunei,1,Bulgaria,51,Kuwait,23,Saudi Arabia,4,Italy,8,Somalia,1,Russia,5,Hungary,4,Afghanistan,2,China,1,Uruguay,6,China,1,Uruguay,6,Armenia,1,Uruguay,4,New Zealand,2,Montenegro,1,West Bank,6,Kuwait,25,Philippines,2,Brazil,1,Sweden,20,Italy,7,Egypt,6,Iraq,39,Belgium,16,Bahrain,3,Morocco,3,New Zealand,10,Slovenia,3,Malta,4
,,,,,,,,,,Somalia,4,,,,,,,,,,,,,,,Norway,2,Kuwait,4,Israel,2,,,,,United Kingdom,12,France,27,Greece,4,Chile,2,Vietnam, Democratic Republic of,Afghanistan,1,Qatar,5,Colombia,3,Canada,13,Austria,2,Kuwait,4,Algeria,1,Afghanistan,1,Japan,2,Nigeria,1,United Arab Emirates,7,Czech Republic,4,Gaza Strip,5,Northern Mariana Islands,1,Greece,2,Northern Mariana Islands,1,France,7,Sweden,2,China,13,Sweden,2,China,13,Myanmar,3,Saudi Arabia,2,Denmark,2,Kuwait,4,Uruguay,2,Germany,50,Israel,42,Pakistan,2,Switzerland,7,Ireland,3,Kuwait,6,Libya,1,Kuwait,16,Yemen,5,Sweden,55,Spain,12,Qatar,7,Netherlands,12
,,,,,,,,,,Cambodia,4,,,,,,,,,,,,,,,,,Qatar,4,United Arab Emirates,1,,,,,China,1,Serbia,1,Cyprus,1,Egypt,19,Finland,1,Ethiopia,3,Azerbaijan,2,Switzerland,4,Russia,58,Germany,4,Western Sahara,2,Canada,10,Algeria,9,Northern Mariana Islands,3,Denmark,3,Sweden,5,Germany,15,Iran,7,Germany,9,Finland,2,Canada,1,China,1,Uruguay,5,United Arab Emirates,3,Uruguay,5,United Arab Emirates,3,United Arab Emirates,2,Congo,1,Sudan,1,Egypt,17,South Sudan,4,Japan,1,Pakistan,14,India,2,Japan,7,Iran,6,Israel,32,Sudan,7,Serbia,1,Canada,10,Australia,318,Tanzania,2,Hungary,14,Haiti,2
,,,,,,,,,,India,5,,,,,,,,,,,,,,,,,Vietnam, Democratic Republic of,1,,,,,,United Arab Emirates,5,Canada,11,Austria,3,Thailand,3,Algeria,3,Canada,3,United Kingdom,8,Morocco,2,Greece,1,France,7,Indonesia,3,Northern Mariana Islands,1,Sudan,2,Gibraltar,1,Philippines,1,Mauritania,2,Sweden,4,United States,22,Cuba,1,Belarus,1,Czech Republic,4,Germany,8,Uganda,1,United Kingdom,10,Uganda,1,United Kingdom,10,France,2,Canada,1,Nigeria,1,Uruguay,25,Greece,26,Ireland,1,Gaza Strip,10,France,1,Taiwan,5,Yemen,2,Ireland,4,Armenia,1,Rwanda,2,Afghanistan,11,Senegal,1,Kuwait,22,Dominican Republic,1,Kazakhstan,3
,,,,,,,,,,Greece,1,,,,,,,,,,,,,,,,,Yemen,1,,,,,,,Belgium,10,Italy,6,Bahrain,3,Armenia,1,Northern Mariana Islands,1,Libya,7,Afghanistan,7,Egypt,8,China,1,Somalia,14,Australia,3,Australia,9,Yemen,2,Italy,11,France,20,France,43,Pakistan,2,Czech Republic,1,United Arab Emirates,1,Kuwait,2,Finland,5,Canada,9,Belgium,1,Sweden,7,Belgium,1,Sweden,7,Iran,3,Egypt,1,Canada,10,Mexico,5,Norway,2,Afghanistan,1,West Bank,9,Italy,3,Somalia,1,Pakistan,5,Switzerland,2,Egypt,25,Eritrea,5,Libya,8,Saudi Arabia,82,Cuba,1,Iran,29,United Arab Emirates,6
,,,,,,,,,,West Bank,2,,,,,,,,,,,,,,,,,Czech Republic,1,,,,,,,West Bank,1,South Africa,1,Germany,6,Greece,2,Georgia,2,Iran,13,Pakistan,1,Kosovo,1,Saudi Arabia,1,Iran,5,France,2,Congo,1,Egypt,43,Canada,12,Belgium,2,United Kingdom,30,Italy,6,Israel,36,Democratic Republic of the Congo,1,Croatia,2,Switzerland,3,Australia,8,Norway,2,Cyprus,1,Norway,2,Cyprus,1,Netherlands,4,Qatar,1,Malaysia,3,Italy,16,Bulgaria,9,Qatar,7,Norway,4,Saudi Arabia,4,Qatar,8,Spain,3,Greece,2,Saudi Arabia,4,Israel,15,Gaza Strip,6,Israel,244,Vietnam,13,Sweden,32,Somalia,8
,,,,,,,,,,Sri Lanka,1,,,,,,,,,,,,,,,,,,,,,,,,,Germany,4,West Bank,1,Sudan,1,Iran,7,Bahrain,2,Indonesia,1,West Bank,5,Afghanistan,24,France,1,Afghanistan,1,United Kingdom,5,Ireland,5,,1,Switzerland,4,Germany,93,India,1,Iran,16,Portugal,6,Argentina,1,Iran,10,Libya,4,Malta,3,Switzerland,3,Italy,8,Switzerland,3,Italy,8,Pakistan,1,Sweden,1,Algeria,2,Denmark,1,Canada,13,Canada,41,Libya,1,Cuba,3,France,2,Uruguay,4,Australia,1,Denmark,10,Pakistan,1,Philippines,3,Oceans,23,Ireland,4,Oceans,8,Hungary,15
,,,,,,,,,,Canada,2,,,,,,,,,,,,,,,,,,,,,,,,,Turkmenistan,4,Russia,3,Libya,9,Canada,5,Afghanistan,1,Ecuador,1,Saudi Arabia,17,Canada,5,Northern Mariana Islands,2,Gaza Strip,1,Germany,3,West Bank,2,Ireland,3,Kuwait,1,United Arab Emirates,2,Saudi Arabia,6,New Zealand,1,India,2,Switzerland,21,Japan,1,Congo,1,United Kingdom,2,Indonesia,1,Vietnam,1,Indonesia,1,Vietnam,1,United Kingdom,3,Bulgaria,3,China,3,Luxembourg,6,Libya,29,New Zealand,4,India,3,Uruguay,2,Nicaragua,6,South Korea,1,Sweden,13,United Arab Emirates,3,Nepal,3,Hungary,20,Yemen,16,Honduras,1,Venezuela,2,Sweden,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romania,1,China,17,Egypt,8,Germany,13,Germany,1,Pakistan,9,Russia,15,Georgia,1,Morocco,8,Eritrea,2,Canada,4,Netherlands,1,Malaysia,7,United Arab Emirates,3,Sweden,42,Azerbaijan,2,West Bank,7,Bulgaria,23,Netherlands,1,Bahrain,1,Malta,1,Oman,1,Papua New Guinea,1,Spain,2,Papua New Guinea,1,Spain,2,Afghanistan,4,Malta,1,Switzerland,1,Nigeria,2,Central African Republic,1,Armenia,4,Qatar,12,Zimbabwe,2,Greece,1,United Arab Emirates,4,Cuba,1,Switzerland,5,India,1,Pakistan,9,Afghanistan,17,Montenegro,1,Panama,3,Italy,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,2,Ecuador,2,Kuwait,8,Qatar,1,,,Saudi Arabia,2,France,34,Eritrea,2,Algeria,13,United Kingdom,1,Greece,1,Qatar,1,Gaza Strip,2,Sudan,1,Egypt,63,Italy,38,Puerto Rico,6,France,9,Japan,5,Spain,1,Ireland,1,Greece,1,Afghanistan,1,Greece,2,Afghanistan,1,Greece,2,Uruguay,1,West Bank,2,Qatar,5,Greece,7,Qatar,1,Denmark,1,Kuwait,12,Rwanda,1,Gaza Strip,3,Austria,2,,1,Uruguay,1,Germany,14,Belgium,2,Kenya,3,Austria,16,Jersey,14,Bolivia,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaza Strip,2,Norway,1,Micronesia,1,Japan,1,,,Switzerland,9,China,1,Netherlands,1,Senegal,3,,,Azerbaijan,11,Norway,2,Azerbaijan,1,Australia,1,Iceland,4,Germany,14,Canada,1,Greece,13,Saudi Arabia,7,Egypt,8,Morocco,1,Brazil,1,Ukraine,3,Sudan,1,Ukraine,3,Sudan,1,Northern Mariana Islands,1,India,1,Japan,4,Argentina,2,Cyprus,4,Albania,2,Bahamas,1,Haiti,1,Afghanistan,1,Norway,10,Oceans,2,Ukraine,2,Sweden,12,Mexico,1,Ireland,40,Malaysia,24,Macedonia,14,New Zealand,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Russia,1,Bosnia-Herzegovina,1,Afghanistan,6,France,3,,,West Bank,4,Canada,2,United Arab Emirates,2,Tunisia,10,,,South Korea,6,United Arab Emirates,2,United Arab Emirates,3,Ireland,4,Pakistan,3,Canada,8,Morocco,4,Equatorial Guinea,5,Canada,1,India,1,Iran,3,Philippines,4,United Kingdom,4,Pakistan,1,United Kingdom,4,Pakistan,1,Vietnam,1,Brazil,1,Bulgaria,3,Norway,5,Peru,1,Norway,7,Thailand,1,Armenia,2,Morocco,2,Canada,8,Austria,6,Turkmenistan,3,Ukraine,1,Oceans,7,France,102,Pakistan,4,Ukraine,11,Armenia,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Algeria,1,Somalia,1,Venezuela,1,Morocco,2,,,Italy,3,Bahrain,3,Italy,3,Sweden,6,,,West Bank,2,Ethiopia,4,Qatar,3,South Korea,3,Lithuania,1,Greece,2,Greece,4,Guinea-Bissau,3,Egypt,29,China,3,Norway,2,Libya,2,Argentina,1,Canada,40,Argentina,1,Canada,40,Hong Kong,1,Ireland,16,Malta,4,Pakistan,1,Ireland,1,Turkmenistan,1,United Arab Emirates,6,Afghanistan,1,Norway,8,Luxembourg,2,Hungary,4,Lithuania,3,Hungary,2,Eritrea,14,Sudan,4,Denmark,3,Somalia,12,Israel,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sudan,1,Algeria,2,China,1,Australia,1,,,Greece,2,Democratic Republic of the Congo,1,Germany,1,West Bank,3,,,Somalia,6,China,1,Lithuania,5,Bahrain,4,Afghanistan,1,Afghanistan,1,Armenia,2,Sudan,3,Bahrain,1,Thailand,2,Qatar,4,Austria,5,Georgia,1,Luxembourg,1,Georgia,1,Luxembourg,1,Libya,2,Oceans,2,Ukraine,3,Northern Mariana Islands,1,Mexico,2,Sudan,4,Switzerland,1,Greece,6,Hungary,1,Monaco,2,Armenia,2,Burundi,8,Iran,3,China,15,Libya,11,Qatar,3,Ireland,20,Belgium,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece,3,Japan,3,Japan,4,Israel,3,,,Georgia,2,Haiti,2,United Kingdom,10,United Arab Emirates,4,,,Iraq,16,Sudan,1,Saudi Arabia,4,Denmark,2,Ireland,4,Switzerland,5,Gaza Strip,1,Malaysia,2,Brazil,1,Libya,2,Cyprus,4,Northern Mariana Islands,1,Italy,3,Armenia,1,Italy,3,Armenia,1,Japan,10,,,Northern Mariana Islands,1,South Sudan,1,Oceans,7,Saudi Arabia,6,Czech Republic,20,Nicaragua,1,Central African Republic,1,Burkina Faso,1,Kenya,3,Japan,3,Canada,6,Czech Republic,1,Uganda,5,Mexico,5,Austria,5,Iran,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tunisia,13,Brazil,1,,,,,Germany,4,Northern Mariana Islands,1,Belgium,1,Hungary,1,,,Niger,1,Saudi Arabia,1,Libya,8,Malta,2,Iran,12,Tunisia,6,Nigeria,3,Russia,3,France,3,Haiti,1,Greece,1,Kenya,1,Somalia,2,Ireland,1,Somalia,2,Ireland,1,Kuwait,4,,,Australia,3,Morocco,1,Russia,2,China,1,Saudi Arabia,1,Central African Republic,2,Belarus,1,Qatar,6,Somalia,1,New Zealand,4,Libya,1,Japan,2,Spain,36,Sweden,20,Denmark,11,Serbia,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,1,Saudi Arabia,2,,,,,Belgium,4,Italy,1,Algeria,4,Afghanistan,4,,,Georgia,4,Vietnam,1,Rwanda,2,Iran,3,Kuwait,3,Malta,12,Afghanistan,2,Central African Republic,1,Finland,4,Norway,1,Sweden,7,South Korea,1,Canada,8,Norway,8,Canada,8,Norway,8,China,2,,,Iran,4,Thailand,1,Haiti,1,Belgium,3,Sri Lanka,1,Russia,4,Austria,2,Greece,16,Taiwan,2,Canada,3,Nigeria,1,Malta,2,United Arab Emirates,92,Belgium,14,Russia,38,Ireland,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ireland,2,Somalia,7,,,,,Cyprus,2,Gaza Strip,1,Uzbekistan,6,Mauritania,3,,,United Arab Emirates,2,Denmark,1,Morocco,2,Yemen,1,Kosovo,1,Oceans,1,Luxembourg,1,Spain,4,New Zealand,4,Denmark,2,Australia,4,Somalia,2,Libya,3,Australia,1,Libya,3,Australia,1,India,1,,,Greece,7,Taiwan,1,Luxembourg,1,Sweden,5,China,1,Cyprus,2,Uganda,1,France,11,France,6,Finland,1,Ireland,1,Ethiopia,1,Russia,57,Bhutan,1,Croatia,5,Australia,36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen,2,Mali,1,,,,,Vatican City,1,Cyprus,1,Hungary,2,Western Sahara,4,,,Armenia,2,Oceans,6,Tunisia,1,Serbia,1,Libya,12,Northern Mariana Islands,2,Colombia,1,Ireland,2,Oman,1,Kosovo,1,Egypt,2,Puerto Rico,1,United Arab Emirates,1,Turkmenistan,2,United Arab Emirates,1,Turkmenistan,2,Spain,1,,,Afghanistan,2,Afghanistan,1,Italy,1,Czech Republic,4,France,2,,,Ireland,3,Germany,4,Qatar,6,Colombia,3,China,1,Indonesia,5,Brazil,40,Oman,1,Afghanistan,39,Libya,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan,1,Burkina Faso,1,,,,,Bahrain,3,Brazil,1,,,Luxembourg,2,,,,,Sweden,1,Greece,6,Somalia,14,Argentina,1,Mexico,1,Bahrain,1,Qatar,1,Poland,2,Pakistan,3,Bosnia-Herzegovina,1,Italy,1,Spain,1,Afghanistan,1,Spain,1,Afghanistan,1,,,,,India,1,Rwanda,1,Ukraine,1,West Bank,2,Australia,1,,,Brazil,1,Australia,2,Malaysia,5,Afghanistan,6,Qatar,1,Switzerland,3,Netherlands,15,Macedonia,5,Serbia,11,Switzerland,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United Arab Emirates,1,Bulgaria,1,,,,,,,,,,,,,,,,,,,Switzerland,1,Armenia,2,Spain,1,Gaza Strip,3,Somalia,1,United Arab Emirates,3,Austria,1,Malaysia,2,Armenia,2,Iran,16,Morocco,3,Netherlands,2,Morocco,3,Netherlands,2,,,,,Philippines,1,United Arab Emirates,1,,,Libya,3,Turkmenistan,2,,,Lithuania,1,Switzerland,7,Iran,4,Congo,2,South Africa,1,Saudi Arabia,7,Estonia,1,Libya,3,Thailand,2,Slovenia,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,10,,,,,,,,,,,,,,,,,,,Japan,8,Azerbaijan,1,Morocco,3,Belarus,1,Qatar,5,South Sudan,1,Czech Republic,1,Oman,1,Japan,2,Romania,6,Malaysia,1,Switzerland,1,Malaysia,1,Switzerland,1,,,,,Cyprus,54,Gaza Strip,1,,,Mali,1,Japan,9,,,Tunisia,4,Afghanistan,5,Azerbaijan,4,South Korea,4,Vatican City,1,Macedonia,50,Czechoslovakia,12,Argentina,1,,4,Iceland,1
