14-Jan,,14-Jan,,14-Jan,,14-Jan,,13-Feb,,14-Feb,,13-Feb,,14-Feb,,14-Mar,,14-Mar,,13-Mar,,14-Mar,,14-Apr,,14-Apr,,14-Apr,,14-May,,14-May,,13-May,,14-May,,14-May,,14-Jun,,14-Jun,,14-Jun,,14-Jul,,14-Jul,,14-Jul,,14-Jul,,Auguest 2014,,Auguest 2014,,Auguest 2014,,Auguest 2014,,14-Sep,,14-Sep,,14-Sep,,14-Sep,,14-Oct,,13-Oct,,13-Oct,,14-Oct,,14-Nov,,14-Nov,,14-Nov,,14-Nov,,14-Dec,,14-Dec,,14-Dec,,14-Dec,,15-Jan,,15-Jan,,14-Jan,,15-Jan,,15-Feb,,15-Feb,,15-Feb,,15-Feb,,15-Mar,,15-Mar,,15-Mar,,15-Mar,,15-Apr,,15-Apr,,15-Apr,,15-Apr,,15-May,,15-May,,15-May,,15-Jun,,15-Jun,,15-Jun,,15-Jun,,15-Jul,,15-Jul,,15-Jul,,15-Jul,,Auguest 2015,,Auguest 2015,,Auguest 2015,,Auguest 2015,,15-Sep,,15-Sep,,15-Sep,,15-Sep,,15-Oct,,15-Oct,,15-Oct,,15-Oct,,15-Nov,,15-Nov,,15-Nov,,15-Nov,,15-Dec,,15-Dec,,15-Dec,,15-Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1,Syria,252,Syria,186,Bulgaria,1,Bulgaria,4,Kuwait,1,Syria,191,Syria,214,China,3,Syria,126,Syria,189,Syria,227,Syria,282,Syria,139,Syria,274,Syria,176,Belarus,1,Syria,154,Lebanon,72,Syria,295,Syria,163,Syria,263,Syria,187,Syria,140,Lebanon,37,Syria,144,Syria,142,Syria,204,Syria,204,Syria,156,Syria,218,Syria,121,Syria,178,Syria,231,Turkey,176,Cyprus,4,Syria,249,Germany,9,Jordan,23,Syria,95,Syria,149,Syria,220,Syria,240,Syria,345,Syria,306,Syria,156,Syria,136,Syria,256,India,2,Syria,194,Syria,228,Jordan,32,Syria,194,Syria,123,Syria,164,Syria,222,Turkey,25,Turkey,42,Qatar,1,Turkey,37,Turkey,25,Syria,204,Turkey,46,Syria,153,Jordan,11,Syria,141,Syria,140,Syria,192,Syria,445,Syria,258,Syria,210,Jordan,30,Syria,131,South Africa,1,Syria,166,Syria,193,Syria,225,Syria,432,Syria,1748,Turkey,137,Syria,1599,Syria,1285,Syria,884,Syria,646,Malaysia,3,United Kingdom,32,Syria,428,Zimbabwe,1,United States,2885,Syria,3334,Syria,1801,Syria,1839,Syria,1162,Syria,1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,132,Turkey,15,Switzerland,5,Syria,254,Lebanon,29,Jordan,30,Jordan,45,Saudi Arabia,2,Syria,112,China,1,Jordan,23,Israel,14,Lebanon,75,Lebanon,20,United States,11,Bulgaria,2,Syria,121,Jordan,55,Syria,394,Malaysia,1,Iraq,18,Jordan,37,Iraq,15,Jordan,18,Syria,243,Canada,2,Kuwait,2,United States,4,Israel,5,Lebanon,28,Myanmar,1,Jordan,15,Lebanon,85,Iraq,16,Syria,498,Syria,213,Italy,3,Syria,205,Syria,263,Lebanon,15,Turkey,26,Norway,1,Jordan,20,United Kingdom,5,Greece,5,Greece,9,Jordan,12,United States,6,Syria,177,Jordan,19,Iraq,52,Syria,209,United Kingdom,5,Jordan,17,Iraq,11,Kuwait,7,Syria,205,Syria,211,Syria,383,Syria,344,Syria,230,Lebanon,45,Syria,350,Jordan,24,Syria,174,Israel,6,Lebanon,39,Lebanon,23,Turkey,186,Turkey,56,United States,15,Syria,286,Afghanistan,4,Syria,280,Egypt,1,Israel,13,Iran,4,Macedonia,36,Turkey,166,Syria,2694,Australia,26,France,25,Turkey,141,Croatia,4,United States,66,Syria,592,United States,23,Syria,731,Syria,5250,United States,1319,France,68,Turkey,94,United States,238,Jordan,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,12,Lebanon,34,Micronesia,1,Algeria,10,Syria,201,Syria,174,Israel,16,Lebanon,94,Lebanon,18,Hungary,2,Kuwait,2,Iraq,16,West Bank,2,Iraq,13,Iraq,6,Jordan,40,Jordan,22,Uganda,1,Jordan,117,Uganda,1,Jordan,26,Lebanon,61,Jordan,14,Lebanon,44,Egypt,4,United Kingdom,1,Lebanon,10,Lebanon,84,Lebanon,47,Turkey,32,Lebanon,43,Iraq,16,Sudan,3,United States,12,United Kingdom,6,Lebanon,47,Jordan,13,Jordan,30,Israel,2,Turkey,18,Jordan,16,Central African Republic,1,Israel,11,Egypt,33,Turkmenistan,1,Egypt,2,Iraq,13,Egypt,9,Jordan,32,Saudi Arabia,1,Lebanon,37,United Arab Emirates,4,Turkey,54,United States,13,Afghanistan,1,Lebanon,35,Kuwait,1,Jordan,31,Jordan,48,Kuwait,11,Israel,45,Turkey,18,United States,11,Burundi,1,Turkey,16,Lebanon,16,Germany,9,Jordan,28,Azerbaijan,1,Lebanon,20,Turkey,40,United Kingdom,8,Lebanon,15,United States,10,Iraq,9,Turkey,27,Turkey,42,Greece,77,Hungary,76,United States,212,Lebanon,121,Turkey,111,Iraq,22,Israel,9,Syria,519,Switzerland,1,Israel,8,Iraq,21,United Kingdom,118,Cuba,11,Canada,207,United States,597,Jordan,71,United States,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iraq,9,Israel,13,France,3,United Kingdom,22,United States,13,Bulgaria,6,Lebanon,27,United Arab Emirates,1,Israel,5,Italy,1,Lebanon,29,Russia,6,United Arab Emirates,3,Israel,9,Turkey,26,France,2,Egypt,1,Bulgaria,2,Iraq,14,Jordan,29,Lebanon,26,France,3,Lebanon,23,Israel,35,Ukraine,2,Israel,15,Egypt,2,Jordan,7,United States,1,Kuwait,1,Iraq,16,Lebanon,28,United Kingdom,5,Turkey,85,United States,77,France,7,Iraq,21,Egypt,2,Turkey,39,Germany,1,Lebanon,15,Iraq,11,Oceans,12,Lebanon,91,Norway,4,Libya,1,Lebanon,17,United Kingdom,1,Lebanon,45,Czech Republic,10,United States,14,Japan,1,Jordan,27,Australia,1,United States,13,Turkey,35,Jordan,36,Egypt,5,Turkey,32,Egypt,11,Jordan,15,Iraq,16,Bulgaria,2,Lebanon,21,United States,3,Italy,2,Malta,1,Germany,4,Iraq,26,Canada,1,Jordan,52,United States,4,Iraq,9,Turkey,77,Jordan,25,Greece,9,Lebanon,23,United States,15,Germany,103,Canada,236,United Kingdom,111,Germany,75,Greece,26,Germany,21,Turkey,72,Turkey,65,Canada,54,Pakistan,1,Canada,229,Canada,520,Jordan,114,Canada,555,Germany,16,Greece,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,4,United Kingdom,5,United Kingdom,9,Jordan,35,Israel,22,Saudi Arabia,4,Turkey,18,United States,12,Bulgaria,1,Jordan,16,United States,6,Lebanon,69,United States,8,Jordan,30,Jordan,74,Lebanon,24,Lebanon,13,Israel,22,Israel,41,Saudi Arabia,10,Italy,3,Kuwait,8,United States,8,Turkey,7,Iraq,11,Turkey,49,Iraq,15,Turkey,12,Iraq,46,Iraq,42,Jordan,18,Turkey,20,Sweden,3,Jordan,18,France,33,Iraq,9,Lebanon,37,Iraq,11,Iraq,6,Israel,4,Libya,1,Jordan,22,Turkey,102,Iraq,37,United Kingdom,6,Israel,8,United Kingdom,4,Sweden,5,Egypt,5,Turkey,15,Turkey,37,Kuwait,2,United States,122,Iraq,4,Jordan,21,United Kingdom,4,Italy,2,Lebanon,24,Ireland,2,Iraq,22,Lebanon,22,Jordan,14,Armenia,2,Iraq,19,Israel,10,Turkey,18,Jordan,14,Turkey,42,Jordan,26,United States,8,Lebanon,39,Iraq,11,Turkey,21,Lebanon,28,Turkey,47,Lebanon,27,Libya,6,Hungary,19,Greece,61,Austria,27,Canada,71,Brazil,3,United States,123,Turkey,94,Canada,33,Iran,4,Jordan,38,Iran,1,France,572,Turkey,159,United States,670,Germany,23,Russia,8,Iraq,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,2,Jordan,32,Kuwait,10,West Bank,1,Turkey,17,Egypt,3,United States,8,Turkey,11,Jordan,14,Turkey,9,Iraq,4,Turkey,34,Jordan,69,Turkey,5,Lebanon,36,Turkey,7,Turkey,17,Lebanon,30,Uruguay,1,Lebanon,79,Saudi Arabia,2,Turkey,11,Russia,3,Thailand,1,Australia,1,Iraq,13,Jordan,12,Iraq,7,United Kingdom,3,United States,4,Turkey,40,Uruguay,2,Turkey,14,United Kingdom,2,Germany,5,Turkey,38,United States,16,Lebanon,41,Lebanon,46,Egypt,2,Israel,5,Lebanon,21,United States,14,Australia,3,Lebanon,46,Jordan,19,United States,11,Italy,10,West Bank,12,Pakistan,2,Kuwait,7,Israel,5,Lebanon,9,Turkey,17,Lebanon,25,Iraq,8,Lebanon,25,Kuwait,10,Pakistan,1,Jordan,31,Kuwait,1,Israel,40,Israel,10,Turkey,23,Lebanon,51,Libya,8,Turkey,26,France,1,Germany,4,Pakistan,6,Iraq,12,Turkey,38,Jordan,18,Israel,9,Lebanon,18,Jordan,17,New Zealand,1,Serbia,7,Iceland,20,France,32,United States,182,Israel,33,Lebanon,56,Canada,31,Belgium,7,Belgium,2,Antigua and Barbuda,1,Afghanistan,12,Iran,15,United Kingdom,62,Mexico,9,United Arab Emirates,4,Iraq,23,Turkey,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,3,Cuba,1,New Zealand,3,Egypt,5,Algeria,4,Turkey,27,United Kingdom,3,Israel,6,Gaza Strip,1,Israel,10,Morocco,1,Qatar,1,Ukraine,1,United Arab Emirates,2,Brazil,1,Israel,38,Iraq,10,Belgium,1,Argentina,2,Iran,3,Israel,2,Israel,5,Kuwait,4,United States,3,Sudan,2,Jordan,20,Iran,1,Israel,1,Jordan,9,Turkmenistan,1,Israel,11,Italy,3,Jordan,13,Lebanon,44,Lebanon,65,Jordan,14,United Kingdom,2,Turkey,40,Qatar,1,Jordan,1,Kuwait,4,Turkey,52,Italy,4,Jordan,67,United States,5,Kuwait,2,Canada,4,Malta,3,Israel,10,West Bank,3,Jordan,21,Turkey,51,Pakistan,1,Israel,6,Greece,3,Jordan,19,United States,13,United States,6,Bangladesh,1,Lebanon,18,United Kingdom,3,Kuwait,3,Belgium,1,United Kingdom,5,Germany,18,Morocco,2,Greece,4,United States,8,Lebanon,48,Bulgaria,1,Sudan,1,Lebanon,20,Israel,3,Sweden,6,Germany,9,Libya,1,Japan,2,Turkey,39,New Zealand,29,Germany,126,Belgium,9,Jordan,73,Czech Republic,1,United States,46,Vietnam,2,Hungary,6,Greece,22,Turkey,96,Germany,64,France,201,Germany,18,Armenia,8,Canada,224,Afghanistan,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon,22,Democratic Republic of the Congo,1,Oman,1,Sweden,2,United Kingdom,3,India,1,Russia,1,Egypt,3,France,7,Iraq,9,Turkey,15,Egypt,7,Libya,1,United States,6,Sweden,3,Qatar,1,Israel,8,Iraq,8,West Bank,3,United States,22,Turkey,20,Iraq,25,Turkey,4,Egypt,2,Jordan,29,Lebanon,39,Israel,8,France,1,Armenia,1,Jordan,14,Canada,1,United States,4,France,4,Malta,2,Iraq,29,United States,20,Turkey,47,United States,3,Taiwan,1,United Kingdom,3,Iraq,14,Australia,1,Kuwait,6,Somalia,1,Sudan,10,Finland,1,Taiwan,1,Iraq,9,Canada,9,Israel,1,West Bank,1,Germany,1,Israel,9,Cuba,1,Egypt,3,Egypt,9,Iraq,19,Iraq,8,Israel,19,Israel,91,Canada,1,United States,11,Qatar,2,United States,4,Somalia,1,United Kingdom,1,Eritrea,1,Italy,3,Lithuania,2,Jordan,13,Denmark,1,Kuwait,3,Saudi Arabia,1,Jordan,15,Sweden,2,Egypt,4,United States,4,China,14,United States,40,United Kingdom,217,Sweden,5,Lebanon,81,Venezuela,1,Malaysia,7,Greece,13,Iraq,44,United Kingdom,21,United States,60,Lebanon,79,Egypt,15,Norway,1,Jordan,123,Turkey,90,Canada,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,9,Germany,1,Poland,2,Israel,23,Iraq,8,Iran,2,Egypt,2,Iraq,11,Turkey,5,United States,5,Germany,4,Cyprus,1,Bulgaria,1,Sweden,1,Egypt,6,Germany,1,Saudi Arabia,1,United Kingdom,1,Turkey,7,Libya,4,Germany,10,United Kingdom,6,Mauritania,1,Iraq,8,Congo,1,Afghanistan,4,Turkey,37,Micronesia,1,Turkmenistan,4,Israel,7,United States,32,Israel,2,New Zealand,1,Gaza Strip,3,China,1,Canada,2,Cyprus,2,Libya,3,United States,11,Sweden,1,United Kingdom,5,Bulgaria,4,Lebanon,18,India,1,Israel,8,Lebanon,15,Egypt,1,Lebanon,80,Iraq,7,Lebanon,25,Armenia,1,Iraq,19,Australia,1,Japan,1,Nicaragua,1,Iran,1,United Kingdom,9,Italy,2,China,1,Tuvalu,1,Iraq,5,Yemen,5,Lebanon,55,Uruguay,2,Norway,2,United States,4,Israel,3,Somalia,6,Kuwait,1,Iraq,13,Russia,1,Belgium,3,Germany,4,Iraq,12,Iran,1,Pakistan,2,Jordan,12,Lebanon,26,United Kingdom,226,Lebanon,195,Germany,119,United States,131,Somalia,1,Iceland,1,United Kingdom,30,Oceans,2,Turkey,54,United Kingdom,64,Iraq,155,Jordan,150,Turkey,65,France,68,Vietnam,4,Lebanon,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,1,United States,6,Bulgaria,3,Afghanistan,2,Jordan,10,Israel,16,Iraq,3,Jordan,21,Afghanistan,1,Yemen,1,Qatar,2,Jordan,23,Qatar,1,Armenia,3,Libya,2,Iran,2,United States,3,United States,1,Italy,3,Turkey,9,Belgium,2,Libya,2,Bulgaria,2,Canada,1,Yemen,1,Malaysia,1,China,2,United Arab Emirates,1,Turkey,10,Iran,3,Egypt,1,Gaza Strip,1,Denmark,2,China,1,Russia,2,Malta,1,Netherlands,1,Italy,2,Afghanistan,1,Estonia,2,Spain,1,Canada,12,Cyprus,3,Switzerland,6,Switzerland,5,Canada,5,Israel,3,Jordan,19,United States,3,China,2,Greece,1,Lebanon,37,Greece,2,Lebanon,24,Israel,7,Belgium,1,Qatar,1,Germany,2,Germany,1,Sweden,1,Belgium,2,Egypt,6,Germany,5,Sweden,1,France,4,Cuba,1,Italy,6,Iraq,6,United States,27,Germany,2,West Bank,2,Afghanistan,21,Libya,3,Vatican City,1,Canada,3,Afghanistan,6,Malta,1,Jordan,19,Jordan,73,Uruguay,29,Greece,32,United Kingdom,87,Jordan,37,Saudi Arabia,2,Germany,38,Jordan,26,France,5,Greece,13,Jordan,44,Indonesia,5,Jersey,6,United Kingdom,45,Armenia,2,France,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,5,Iraq,21,Afghanistan,1,Canada,3,Qatar,4,Iraq,7,Pakistan,6,Qatar,2,United States,5,Canada,1,Bulgaria,1,United Kingdom,9,Turkey,16,Pakistan,2,Austria,3,Egypt,2,Russia,1,Switzerland,3,Somalia,2,Finland,1,Egypt,2,Norway,1,Brazil,1,Italy,4,Israel,17,Egypt,4,India,1,Macedonia,1,Nigeria,2,United Kingdom,2,Sweden,2,Croatia,1,Iraq,16,Qatar,2,Egypt,3,Switzerland,2,Luxembourg,3,Canada,2,United Kingdom,1,Iraq,3,Netherlands,2,United Kingdom,2,Iraq,10,Turkey,54,Turkey,43,Turkey,4,Bulgaria,1,Turkey,25,Malta,1,France,2,Malaysia,1,Qatar,3,India,1,United Kingdom,2,Turkey,21,Saudi Arabia,1,Israel,7,Taiwan,1,Iraq,36,Azerbaijan,2,Kosovo,2,Ireland,2,Egypt,8,Yemen,3,Qatar,3,Jordan,34,Yemen,1,Egypt,1,Burundi,4,Turkmenistan,2,Yemen,2,Eritrea,2,Canada,1,Peru,1,United States,5,Yemen,3,Greece,54,Italy,5,Thailand,1,Australia,145,Jordan,71,Iran,18,Russia,13,Russia,8,Israel,17,Canada,34,Iraq,25,Jordan,40,Turkey,120,Bangladesh,1,Greece,12,Portugal,1,United Kingdom,80,Myanmar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,1,Libya,2,Iraq,6,Iraq,7,Iran,3,Lebanon,9,Malaysia,2,Australia,5,United Kingdom,1,Denmark,1,Cyprus,4,Sweden,5,Russia,2,Afghanistan,1,Russia,3,Central African Republic,1,Kuwait,2,Indonesia,1,United States,8,Iraq,6,Sudan,1,United States,5,United Kingdom,1,Sweden,2,Saudi Arabia,1,Vietnam, Democratic Republic of,Spain,1,Germany,1,Bahrain,1,Uruguay,2,Bulgaria,7,Kuwait,1,Israel,3,Israel,7,Sweden,3,West Bank,2,Greece,2,Israel,5,Rwanda,1,United States,2,Norway,2,Libya,2,Norway,1,United States,18,Iraq,22,Saudi Arabia,3,Germany,3,Czech Republic,1,Turkey,23,Iraq,11,United Kingdom,15,United Kingdom,6,Denmark,1,Zimbabwe,2,Japan,3,China,1,France,1,Israel,14,Kuwait,19,Saudi Arabia,3,Albania,4,Australia,1,Iraq,36,Israel,7,Malaysia,2,Kuwait,5,France,3,Iran,3,Japan,5,Kuwait,4,Israel,1,Egypt,2,United States,2,Brazil,1,Greece,6,Iraq,5,Kuwait,3,Germany,35,Poland,6,Greece,66,Finland,4,Hungary,10,Afghanistan,7,Luxembourg,1,Jordan,28,Spain,1,Mexico,2,Canada,64,Greece,46,Russia,21,Kuwait,4,Iraq,44,Lebanon,33,Vietnam,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
