13-Apr F,13-Apr-Data-1,13-Apr S,13-Apr-Data-2,13-Apr T,13-Apr-Data-3,13-Apr FO,13-Apr-Data-4,13-May F,13-May-Data-1,13-May S,13-May-Data-2,13-May T,13-May-Data-3,13-May FO,13-May-Data-4,13-Jun F,13-Jun-Data-1,13-Jun S,13-Jun-Data-2,13-Jun T,13-Jun-Data-3,13-Jun FO,13-Jun-Data-4,13-July F,13-July-Data-1,13-July S,13-July-Data-2,13-July T,13-July-Data-3,13-July FO,13-July-Data-4,13-Aug F,13-Aug-Data-1,13-Aug S,13-Aug-Data-2,13-Aug T,13-Aug-Data-3,13-Aug FO,13-Aug-Data-4,13-Sep F,13-Sep-Data-1,13-Sep,,13-Sep,,13-Sep,,13-Oct,,13-Oct,,13-Oct,,13-Oct,,13-Nov,,13-Nov,,13-Nov,,13-Nov,,13-Dec,,13-Dec,,13-Dec,,13-Dec,,14-Jan,,14-Jan,,14-Jan,,14-Jan,,14-Feb,,14-Feb,,14-Feb,,14-Feb,,14-Mar,,14-Mar,,14-Mar,,14-Mar,,14-Apr,,14-Apr,,14-Apr,,14-Apr,,14-May,,14-May,,14-May,,14-May,,14-Jun,,14-Jun,,14-Jun,,14-Jun,,14-Jul,,14-Jul,,14-Jul,,14-Jul,,Auguest 2014,,Auguest 2014,,Auguest 2014,,Auguest 2014,,14-Sep,,14-Sep,,14-Sep,,14-Sep,,14-Oct,,14-Oct,,14-Oct,,14-Oct,,14-Nov,,14-Nov,,14-Nov,,14-Nov,,14-Dec,,14-Dec,,14-Dec,,14-Dec,,15-Jan,,15-Jan,,15-Jan,,15-Jan,,15-Feb,,15-Feb,,15-Feb,,15-Feb,,15-Mar,,15-Mar,,15-Mar,,15-Mar,,15-Apr,,15-Apr,,15-Apr,,15-Apr,,15-May,,15-May,,15-May,,15-May,,15-Jun,,15-Jun,,15-Jun,,15-Jun,,15-Jul,,15-Jul,,15-Jul,,15-Jul,,Auguest 2015,,Auguest 2015,,Auguest 2015,,Auguest 2015,,15-Sep,,15-Sep,,15-Sep,,15-Sep,,15-Oct,,15-Oct,,15-Oct,,15-Oct,,15-Nov,,15-Nov,,15-Nov,,15-Nov,,15-Dec,,15-Dec,,15-Dec,,15-Dec,
Northern Mariana Islands,2,Tunisia,2,United States,4,Turkey,9,Lebanon,5,Lebanon,1,West Bank,2,Australia,2,Russia,4,Egypt,1,Turkey,17,Vietnam,1,Canada,17,United Kingdom,7,United Arab Emirates,3,Iraq,2,Iraq,5,Gaza Strip,3,Canada,1,Russia,20,Qatar,3,Libya,3,Switzerland,5,United States,32,Lebanon,37,France,4,Malta,2,Turkey,17,United States,11,Italy,2,West Bank,5,United States,9,Germany,13,Lebanon,104,India,1,Greece,6,Jordan,16,Cuba,1,United Kingdom,15,Sweden,2,Turkey,11,United Kingdom,2,Germany,2,Algeria,1,Poland,2,Czech Republic,4,Turkey,11,Russia,13,Qatar,2,Germany,2,Canada,1,Italy,1,Iran,2,United States,3,Uruguay,1,Georgia,1,Turkey,7,Vietnam,1,United Kingdom,5,Nauru,1,Italy,4,Germany,2,Afghanistan,4,Italy,1,Iraq,4,Armenia,2,Iran,10,Saudi Arabia,1,Egypt,2,New Zealand,1,Switzerland,1,Russia,3,Canada,1,Denmark,1,United States,6,Rwanda,1,Estonia,2,Netherlands,2,United Kingdom,3,Cyprus,3,Australia,3,Lebanon,64,Libya,1,Germany,2,Lebanon,100,Norway,2,Israel,2,Armenia,1,Sweden,1,Australia,1,Japan,1,Japan,6,Iran,1,Italy,1,Italy,4,Germany,2,Lebanon,26,United States,4,Yemen,1,Italy,4,Uruguay,3,Australia,1,Norway,2,Malaysia,1,Israel,3,Iraq,4,Israel,31,Iraq,9,Greece,1,Greece,6,Libya,1,Sweden,8,Greece,13,Egypt,4,Greece,77,Iraq,11,New Zealand,38,Uruguay,36,United States,205,Israel,50,Hungary,6,Lebanon,35,Israel,24,Jordan,34,France,8,Jordan,40,Jordan,72,Iraq,119,Greece,16,United Kingdom,59,Armenia,2,Myanmar,3
Lebanon,7,North Korea,1,Turkey,2,Russia,26,Israel,1,Kuwait,2,Gaza Strip,1,Iraq,16,Afghanistan,3,Japan,1,Algeria,1,United States,7,Bhutan,1,France,4,United States,20,Australia,3,Spain,2,Israel,13,United States,3,South Korea,3,Turkey,66,United States,48,Venezuela,2,Canada,4,Libya,1,Russia,2,United Arab Emirates,4,Jordan,37,Bulgaria,13,Iran,5,Turkey,34,France,11,Algeria,1,Egypt,25,Israel,10,United States,3,Afghanistan,1,United Arab Emirates,1,Iraq,2,Turkey,41,Algeria,4,India,1,Iraq,11,Denmark,1,Germany,1,Finland,5,Iran,2,Jordan,21,Kuwait,2,Sweden,2,Turkey,10,Israel,4,Iraq,2,Lebanon,13,Kuwait,1,Turkey,9,Germany,3,Israel,2,Germany,6,Bulgaria,2,Iraq,12,United States,2,Uruguay,1,Turkey,27,Macedonia,3,Turkmenistan,2,United Kingdom,2,Qatar,1,West Bank,1,Denmark,2,Qatar,4,Iraq,29,Malta,1,Mexico,4,United Kingdom,1,Uruguay,6,Iraq,3,Turkmenistan,1,Israel,8,Norway,1,Cyprus,3,United States,9,Saudi Arabia,5,Pakistan,4,Greece,1,West Bank,3,Lebanon,24,Greece,1,United Kingdom,8,Iraq,3,United Kingdom,1,Nicaragua,1,Israel,2,Sweden,4,Bulgaria,1,Iraq,21,Jordan,32,Lebanon,38,Egypt,5,Egypt,4,Yemen,1,Sweden,1,Taiwan,2,United Kingdom,5,Norway,2,Armenia,1,Lithuania,3,Kuwait,9,Russia,1,Afghanistan,9,Kuwait,1,Vatican City,1,Serbia,2,Pakistan,3,Malta,1,Saudi Arabia,3,United States,74,Australia,176,Greece,39,Lebanon,74,Jordan,93,Saudi Arabia,1,Kuwait,4,Israel,9,Mexico,1,Canada,76,Turkey,148,New Zealand,1,Czech Republic,2,Jordan,130,United Kingdom,104,Italy,6
Russia,8,Libya,7,Algeria,1,Eritrea,2,Norway,1,Western Sahara,2,,,Germany,1,Zimbabwe,1,Iraq,2,Canada,8,Denmark,1,Iran,2,Afghanistan,1,Algeria,3,Puerto Rico,2,United Kingdom,2,Libya,1,United Kingdom,3,Turkey,19,Canada,3,Russia,10,Sweden,2,Egypt,15,United States,5,Kuwait,3,Iraq,8,Malta,3,Algeria,1,Russia,1,United States,10,Somalia,1,Iraq,2,Israel,17,West Bank,7,Israel,9,Russia,1,Democratic Republic of the Congo,1,Jordan,6,Kuwait,6,United Kingdom,5,Czech Republic,2,Pakistan,3,Germany,1,France,3,Switzerland,2,Israel,2,Qatar,2,Russia,2,Armenia,5,Brazil,1,West Bank,1,Central African Republic,1,Russia,1,Switzerland,3,Italy,3,Austria,1,Germany,14,Canada,26,Brazil,1,,,Oman,1,Egypt,20,China,2,Germany,1,Nigeria,3,Uruguay,2,Sweden,1,Gaza Strip,1,Sudan,1,Israel,8,Sweden,4,Japan,1,Luxembourg,5,Italy,4,United Arab Emirates,1,China,7,United States,3,Jordan,25,Libya,12,Somalia,1,Israel,5,Jordan,19,Kenya,2,Jordan,12,Iraq,6,Sri Lanka,1,Italy,1,Egypt,39,Denmark,1,Zimbabwe,2,Israel,9,South Korea,2,United Kingdom,10,Germany,7,Kuwait,25,Saudi Arabia,4,United Arab Emirates,1,Ireland,1,Saudi Arabia,1,Bulgaria,1,Cuba,1,France,4,Denmark,1,Yemen,1,Egypt,1,Greece,13,Israel,11,West Bank,3,Serbia,1,Iran,2,Peru,1,Egypt,1,Afghanistan,9,United Kingdom,7,Italy,7,Austria,30,Greece,79,Jordan,115,Iraq,21,Lebanon,47,Australia,33,Jordan,29,Canada,33,Turkey,49,Germany,36,Greece,54,Belgium,6,Kuwait,3,Portugal,1,Lebanon,52,Yemen,1
Ukraine,6,Russia,6,,,France,4,Malaysia,2,Indonesia,3,,,Morocco,5,Switzerland,1,Bahrain,2,Iran,9,Switzerland,1,Norway,1,Algeria,6,Kuwait,1,Russia,2,Israel,2,Northern Mariana Islands,3,Switzerland,2,Bahrain,4,Israel,19,United Kingdom,30,Brazil,2,Turkey,10,Russia,3,Sweden,3,United States,14,Tunisia,4,Japan,2,Bulgaria,9,Morocco,1,Sweden,2,Libya,1,Libya,1,Afghanistan,2,Sudan,1,United States,7,Libya,1,United States,9,Iraq,1,Switzerland,2,Lebanon,9,Malaysia,2,Saudi Arabia,3,United Kingdom,1,Lebanon,16,Norway,2,Iran,1,Sweden,1,Pakistan,2,Egypt,4,Iran,16,Germany,1,Kuwait,5,Indonesia,1,Somalia,2,Kuwait,3,Egypt,2,Egypt,1,United States,5,,,Switzerland,11,Northern Mariana Islands,1,India,1,Rwanda,1,Bahrain,1,Saudi Arabia,1,Bulgaria,3,Croatia,2,Nigeria,1,Japan,2,Kuwait,1,Switzerland,2,Nigeria,2,Canada,3,Israel,6,Kuwait,1,West Bank,4,Libya,17,Iraq,6,India,1,Sudan,4,Canada,9,Turkey,12,Russia,2,United States,4,China,1,Malaysia,1,Serbia,1,India,2,Kuwait,2,Turkey,15,Australia,1,Somalia,1,Taiwan,1,Sri Lanka,4,Morocco,3,Luxembourg,2,United Kingdom,4,Jordan,36,United Arab Emirates,1,United States,6,Qatar,6,Poland,1,France,3,Norway,2,United States,30,Norway,6,Yemen,2,Egypt,2,Russia,1,Brazil,1,Kuwait,1,Canada,8,Libya,3,Germany,38,United Kingdom,290,Hungary,65,Russia,19,Turkey,171,Australia,17,Russia,10,Germany,36,Spain,1,Iraq,15,Russia,2,Israel,31,Greece,31,Lebanon,70,Iraq,30,Luxembourg,1,Switzerland,2
Switzerland,1,Saudi Arabia,1,,,Germany,1,Turkey,3,Israel,1,,,Niger,1,Japan,1,Libya,1,Northern Mariana Islands,1,Ireland,3,Nepal,2,Sudan,2,Qatar,1,Rwanda,2,Germany,2,Egypt,2,Turkey,13,United Kingdom,3,Switzerland,24,Germany,46,Israel,5,United Kingdom,3,Israel,12,Egypt,1,Turkey,36,Belgium,1,Egypt,5,Saudi Arabia,3,Israel,5,Iran,10,Egypt,3,United Kingdom,13,Sudan,2,Ireland,1,Italy,14,Kuwait,8,Lebanon,26,Iran,4,Jordan,19,United States,10,Iran,3,China,1,Kuwait,3,Libya,1,Qatar,2,United Kingdom,12,Israel,1,Afghanistan,1,Philippines,2,Romania,6,West Bank,8,China,1,Papua New Guinea,1,United States,10,Qatar,2,Belgium,2,Australia,1,Israel,10,,,Turkey,13,Vietnam,1,Spain,1,,,,,Congo,1,Armenia,2,United Kingdom,1,Canada,3,Bulgaria,3,Canada,6,West Bank,2,Greece,5,Netherlands,2,West Bank,3,United States,3,Uruguay,1,Central African Republic,1,Haiti,1,Switzerland,8,Saudi Arabia,1,Turkey,6,West Bank,1,Germany,3,Malta,1,France,2,United Kingdom,12,Israel,3,Kuwait,2,Rwanda,1,United Kingdom,3,Macedonia,3,Qatar,3,Israel,9,Morocco,1,Netherlands,1,Gaza Strip,1,Greece,3,Iran,1,Sierra Leone,2,Kuwait,4,Malaysia,4,Brazil,7,Iran,1,Iran,4,Burundi,8,Sudan,1,Egypt,3,Rwanda,2,Nepal,1,Indonesia,8,Turkey,43,Yemen,3,Kuwait,4,United Kingdom,7,Czech Republic,22,Serbia,13,Egypt,20,Iran,33,United Kingdom,65,Luxembourg,1,Iraq,10,Australia,17,Germany,24,Albania,3,Mexico,11,Lebanon,68,United Kingdom,75,Australia,7,Australia,13,United Kingdom,62
China,1,Austria,2,,,Libya,3,Saudi Arabia,1,Algeria,5,,,Georgia,4,United States,1,,,Germany,3,Oceans,6,Cyprus,1,Yemen,2,France,2,Morocco,2,Russia,2,United States,1,Kuwait,1,Denmark,2,Russia,27,Northern Mariana Islands,1,Bulgaria,4,Libya,1,Egypt,11,United Kingdom,8,Yemen,20,France,5,Iraq,3,New Zealand,1,Libya,3,Bulgaria,3,Saudi Arabia,2,Portugal,3,Italy,3,Iraq,8,Libya,5,Qatar,4,New Zealand,4,United States,5,Sweden,1,Greece,1,Libya,1,Israel,5,Ukraine,2,Congo,1,Cyprus,2,Sweden,5,Iraq,6,Turkey,2,Libya,2,Iraq,2,Kuwait,1,Sweden,2,Saudi Arabia,2,Canada,8,Iraq,3,Spain,2,Turkmenistan,2,Egypt,3,,,Israel,15,Iraq,5,Israel,1,,,,,,,Malta,1,Kuwait,1,Malaysia,3,Malta,1,Afghanistan,2,Netherlands,1,France,3,Israel,3,Italy,1,Saudi Arabia,2,South Sudan,4,Qatar,1,Greece,25,Netherlands,1,Iraq,8,Germany,15,Cuba,1,Canada,10,Turkey,23,Iraq,12,United Arab Emirates,3,Canada,1,France,1,Haiti,1,Central African Republic,2,Italy,3,Israel,11,Canada,3,Egypt,19,United Kingdom,4,Monaco,2,Australia,1,Greece,8,Libya,6,Germany,5,Ireland,1,United States,7,Italy,4,Saudi Arabia,3,Japan,3,Egypt,22,Gaza Strip,1,Eritrea,1,Nigeria,1,Kuwait,13,Russia,3,Belgium,2,Egypt,1,Lebanon,29,Jordan,74,Kosovo,7,Tunisia,3,Australia,37,Afghanistan,6,United Kingdom,85,Norway,5,Norway,1,Iceland,1,Australia,15,Spain,2,Japan,4,Iraq,34,Lebanon,62,France,25,Israel,23
Israel,1,,,,,Somalia,1,Algeria,5,Libya,6,,,Libya,2,,,,,Russia,13,Ethiopia,3,Armenia,2,Egypt,10,Australia,1,Tunisia,1,Morocco,2,,,United Arab Emirates,2,United States,23,United Kingdom,15,Somalia,4,Greece,1,Somalia,6,Rwanda,1,Libya,9,France,16,Saudi Arabia,2,Libya,1,West Bank,2,Armenia,2,Russia,4,West Bank,1,Germany,5,Greece,6,United Kingdom,23,Malta,2,Iran,1,Oman,1,Switzerland,9,Italy,3,Italy,2,Oman,1,Afghanistan,1,Saudi Arabia,1,Israel,11,Switzerland,1,Saudi Arabia,2,Spain,2,Canada,5,Austria,5,Germany,2,United States,2,Uruguay,3,Afghanistan,1,Egypt,3,West Bank,3,Greece,2,Afghanistan,1,Italy,5,,,Canada,11,Malta,1,Canada,2,,,,,,,Uruguay,2,Germany,1,Algeria,2,Egypt,5,Greece,5,Armenia,2,Uruguay,18,Thailand,1,Kuwait,3,France,1,Greece,1,Cyprus,1,United Kingdom,5,United States,12,China,1,United States,2,Vatican City,1,Iran,2,Qatar,6,Sweden,4,Egypt,27,Germany,1,Italy,1,Armenia,2,Italy,2,Bulgaria,2,France,2,Tunisia,2,Argentina,1,Gaza Strip,2,Burkina Faso,1,Norway,3,Australia,1,Italy,1,Oceans,2,United Kingdom,3,South Korea,1,Kuwait,9,Israel,3,Egypt,2,Turkmenistan,1,Uruguay,2,Israel,4,Egypt,2,Germany,7,United Kingdom,1,Iraq,5,Pakistan,6,Israel,23,Thailand,1,Israel,75,Finland,5,Russia,15,Canada,56,Jordan,78,Russia,14,United States,72,Libya,1,Norway,5,Australia,64,Mali,3,Austria,5,Egypt,4,Greece,19,Iraq,25
,,,,,,United Kingdom,1,Switzerland,2,Australia,1,,,United Arab Emirates,2,,,,,Australia,9,Iraq,5,Israel,5,Russia,5,Lithuania,5,Turkey,8,Netherlands,1,,,Japan,1,Switzerland,2,Reunion,2,Switzerland,4,Belgium,1,France,9,Turkey,5,Iraq,2,Israel,20,United Arab Emirates,2,Switzerland,1,Israel,33,Bulgaria,9,Israel,11,South Africa,1,India,1,Sweden,2,France,5,Bulgaria,2,Argentina,1,Poland,2,Uganda,1,New Zealand,13,Iraq,7,Qatar,1,,,Russia,6,Malta,1,France,1,Libya,2,Egypt,1,United States,2,Russia,2,Canada,3,Armenia,2,Germany,2,Iraq,2,Libya,3,Ukraine,2,Sudan,1,France,1,Norway,7,,,Russia,1,Italy,2,United States,2,,,,,,,West Bank,2,Libya,1,Uruguay,1,Ukraine,3,India,1,United Kingdom,7,Argentina,2,Norway,3,Egypt,4,,,,,Peru,1,West Bank,2,Greece,13,Belgium,3,Iraq,10,Iran,1,Somalia,1,Sweden,2,Italy,3,Sweden,2,China,1,Saudi Arabia,3,,,Russia,4,Germany,3,Nicaragua,6,Switzerland,1,Uruguay,2,Iraq,16,Qatar,1,Switzerland,2,Uruguay,1,Luxembourg,2,Iraq,3,Iran,2,Japan,1,Azerbaijan,6,Denmark,10,Lebanon,53,Tunisia,2,Norway,3,West Bank,2,Eritrea,4,Iraq,11,France,1,Mexico,1,Ethiopia,1,Ireland,5,Lebanon,40,Jordan,92,Iceland,8,Serbia,8,Norway,2,Sweden,9,Estonia,1,Egypt,24,Netherlands,2,Iraq,35,Malaysia,26,Italy,5,Saudi Arabia,7,Afghanistan,5,Thailand,1,Serbia,2
,,,,,,Azerbaijan,2,,,France,2,,,Armenia,2,,,,,Congo,1,Libya,6,,,Israel,7,Saudi Arabia,4,Malaysia,1,Gaza Strip,1,,,Germany,2,Italy,8,Jordan,75,Iran,4,Egypt,10,Sri Lanka,1,Armenia,15,Canada,6,South Africa,1,Germany,6,Russia,2,Algeria,1,Puerto Rico,2,Afghanistan,1,Sweden,1,Bulgaria,8,United Kingdom,5,China,2,Qatar,6,Switzerland,6,Qatar,1,Morocco,9,Armenia,1,Switzerland,2,China,1,,,Afghanistan,1,Bulgaria,1,Greece,1,Turkey,25,Armenia,2,Australia,3,Northern Mariana Islands,1,Bulgaria,3,,,Bulgaria,2,Germany,1,Germany,10,Belgium,2,Pakistan,1,Sweden,2,United Kingdom,1,,,Malta,1,Hong Kong,1,Netherlands,3,,,,,,,India,1,,,Libya,1,Canada,1,Iran,2,Libya,1,Norway,2,Taiwan,1,Gaza Strip,1,,,,,Germany,2,Bulgaria,5,Israel,9,Canada,9,Norway,1,Nigeria,1,Iraq,8,Afghanistan,1,Australia,1,Netherlands,1,United States,18,Egypt,1,,,Sweden,4,United Arab Emirates,2,Greece,1,Australia,3,Sweden,6,Sri Lanka,2,Ireland,1,Italy,1,Iraq,18,Canada,1,Austria,2,Azerbaijan,4,France,2,United Kingdom,1,United Arab Emirates,3,Eritrea,3,United Kingdom,8,Italy,2,Pakistan,1,United Kingdom,3,Russia,2,New Zealand,3,Sweden,3,Indonesia,1,Malta,1,Canada,278,Iraq,69,Papua New Guinea,2,Austria,7,Israel,8,Vietnam,5,Lebanon,52,Germany,19,Egypt,2,Egypt,1,Libya,5,Australia,49,Russia,7,Switzerland,4,Oceans,1,Pakistan,5
,,,,,,,,,,United Kingdom,5,,,Kuwait,2,,,,,Ireland,2,Canada,2,,,Ireland,2,Russia,10,Greece,6,Brazil,2,,,China,1,Malta,2,New Zealand,13,Australia,1,Azerbaijan,4,Germany,2,Austria,5,Greece,2,Gaza Strip,2,Libya,7,Czechoslovakia,2,Turkey,24,Gaza Strip,1,Kuwait,4,Kuwait,1,France,4,Switzerland,5,Sweden,2,Israel,4,Netherlands,1,Austria,1,Afghanistan,1,France,1,China,1,Singapore,2,,,United Arab Emirates,2,,,Sweden,2,Bosnia-Herzegovina,1,Thailand,1,Bulgaria,2,Kenya,1,Czech Republic,1,,,,,Russia,2,United Arab Emirates,1,France,1,Canada,9,Netherlands,1,Sweden,2,,,Armenia,1,Germany,2,,,,,,,,,Brazil,1,,,Kuwait,1,Gaza Strip,2,Philippines,1,Germany,5,Pakistan,1,,,Russia,1,,,,,Egypt,6,Germany,1,Yemen,1,Egypt,39,Czech Republic,3,Armenia,2,Oman,1,Kuwait,1,Turkmenistan,2,Bulgaria,2,Denmark,1,Cuba,2,,,Qatar,2,United States,2,Gaza Strip,2,Yemen,1,United Kingdom,9,West Bank,11,Greece,5,Afghanistan,1,Macedonia,2,Denmark,6,Hungary,1,Kuwait,1,Armenia,1,Indonesia,1,Switzerland,4,Iran,1,Pakistan,4,Afghanistan,1,Nepal,2,Hungary,1,Armenia,1,Italy,2,United States,4,Israel,3,Sweden,2,Iran,7,Sweden,26,Norway,12,Saudi Arabia,13,Italy,11,France,13,Denmark,1,Russia,21,Greece,26,Denmark,8,Norway,5,Bhutan,2,Cuba,11,Sweden,3,Israel,12,Ireland,3
