13-April,,April-13,,April-13,,April-13,,May-13,,May-13,,May-13,,May-13,,June-13,,June-13,,June-13,,June-13,,July-13,,July-13,,July-13,,July-13,,Auguest 2013,,Auguest 2013,,Auguest 2013,,Auguest 2013,,September-13,,September-13,,September-13,,September-13,,Oct-13,,Oct-13,,Oct-13,,Oct-13,,November-13,,November-13,,November-13,,November-13,,December-13,,December-13,,December-13,,December-13,,14-January,,14-January,,14-January,,14-January,,13-Feb,,14-Feb,,13-Feb,,14-Feb,,14-Mar,,14-Mar,,13-Mar,,14-Mar,,14-April,,14-April,,14-April,,14-May,,14-May,,13-May,,14-May,,14-May,,14-June,,14-June,,14-June,,14-July,,14-July,,14-July,,14-July,,Auguest 2014,,Auguest 2014,,Auguest 2014,,Auguest 2014,,14-September,,14-September,,14-September,,14-September,,14-Oct,,13-Oct,,13-Oct,,14-Oct,,14-November,,14-November,,14-November,,14-November,,14-December,,14-December,,14-December,,14-December,,15-January,,15-January,,14-January,,15-January,,15-Feb,,15-Feb,,15-Feb,,15-Feb,,15-Mar,,15-Mar,,15-Mar,,15-Mar,,15-April,,15-April,,15-April,,15-April,,15-May,,15-May,,15-May,,15-June,,15-June,,15-June,,15-June,,15-July,,15-July,,15-July,,15-July,,Auguest 2015,,Auguest 2015,,Auguest 2015,,Auguest 2015,,15-September,,15-September,,15-September,,15-September,,15-Oct,,15-Oct,,15-Oct,,15-Oct,,15-November,,15-November,,15-November,,15-November,,15-December,,15-December,,15-December,,15-December,
Algeria,6,Georgia,2,Syria,68,Egypt,1,Iran,6,Russia,1,Russia,15,Syria,72,Poland,2,Syria,82,Syria,290,Syria,161,Syria,83,Syria,115,Syria,331,Syria,193,Syria,92,China,2,Syria,178,Iraq,68,Syria,522,Syria,356,Germany,12,Syria,369,Syria,282,Syria,216,Syria,299,Syria,182,Syria,232,Syria,207,Lebanon,90,Syria,279,Syria,80,Syria,275,Syria,334,United Arab Emirates,2,Greece,1,Syria,252,Syria,186,Bulgaria,1,Bulgaria,4,Kuwait,1,Syria,191,Syria,214,China,3,Syria,126,Syria,189,Syria,227,Syria,282,Syria,139,Syria,274,Syria,176,Belarus,1,Syria,154,Lebanon,72,Syria,295,Syria,163,Syria,263,Syria,187,Syria,140,Lebanon,37,Syria,144,Syria,142,Syria,204,Syria,204,Syria,156,Syria,218,Syria,121,Syria,178,Syria,231,Turkey,176,Cyprus,4,Syria,249,Germany,9,Jordan,23,Syria,95,Syria,149,Syria,220,Syria,240,Syria,345,Syria,306,Syria,156,Syria,136,Syria,256,India,2,Syria,194,Syria,228,Jordan,32,Syria,194,Syria,123,Syria,164,Syria,222,Turkey,25,Turkey,42,Qatar,1,Turkey,37,Turkey,25,Syria,204,Turkey,46,Syria,153,Jordan,11,Syria,141,Syria,140,Syria,192,Syria,445,Syria,258,Syria,210,Jordan,30,Syria,131,South Africa,1,Syria,166,Syria,193,Syria,225,Syria,432,Syria,1748,Turkey,137,Syria,1599,Syria,1285,Syria,884,Syria,646,Malaysia,3,United Kingdom,32,Syria,428,Zimbabwe,1,United States,2885,Syria,3334,Syria,1801,Syria,1839,Syria,1162,Syria,1101
Syria,43,Syria,64,Russia,13,Syria,76,Syria,31,Syria,76,Syria,34,Israel,8,Mauritania,2,Jordan,21,Iraq,5,Iran,1,Jordan,20,Canada,3,Egypt,16,Jordan,38,Tunisia,2,Syria,90,Israel,17,Syria,335,,2,Israel,8,Trinidad and Tobago,1,Germany,3,Iran,22,Egypt,3,Libya,5,Bulgaria,7,United Kingdom,6,United Kingdom,5,Iraq,16,Colombia,1,Jordan,11,Gaza Strip,3,Bulgaria,6,Syria,199,Syria,132,Turkey,15,Switzerland,5,Syria,254,Lebanon,29,Jordan,30,Jordan,45,Saudi Arabia,2,Syria,112,China,1,Jordan,23,Israel,14,Lebanon,75,Lebanon,20,United States,11,Bulgaria,2,Syria,121,Jordan,55,Syria,394,Malaysia,1,Iraq,18,Jordan,37,Iraq,15,Jordan,18,Syria,243,Canada,2,Kuwait,2,United States,4,Israel,5,Lebanon,28,Myanmar,1,Jordan,15,Lebanon,85,Iraq,16,Syria,498,Syria,213,Italy,3,Syria,205,Syria,263,Lebanon,15,Turkey,26,Norway,1,Jordan,20,United Kingdom,5,Greece,5,Greece,9,Jordan,12,United States,6,Syria,177,Jordan,19,Iraq,52,Syria,209,United Kingdom,5,Jordan,17,Iraq,11,Kuwait,7,Syria,205,Syria,211,Syria,383,Syria,344,Syria,230,Lebanon,45,Syria,350,Jordan,24,Syria,174,Israel,6,Lebanon,39,Lebanon,23,Turkey,186,Turkey,56,United States,15,Syria,286,Afghanistan,4,Syria,280,Egypt,1,Israel,13,Iran,4,Macedonia,36,Turkey,166,Syria,2694,Australia,26,France,25,Turkey,141,Croatia,4,United States,66,Syria,592,United States,23,Syria,731,Syria,5250,United States,1319,France,68,Turkey,94,United States,238,Jordan,28
Tunisia,2,Jordan,29,Jordan,24,Jordan,14,Turkey,4,Jordan,7,Azerbaijan,12,Iran,11,Lebanon,6,Lebanon,13,Jordan,47,Israel,8,Lebanon,17,Puerto Rico,3,Lebanon,49,Azerbaijan,1,Jordan,14,Brunei,1,Egypt,7,Jordan,43,Greece,3,Belarus,9,Syria,259,Switzerland,3,Bulgaria,13,Israel,13,Iran,3,Lebanon,20,France,6,Germany,1,Syria,301,United Kingdom,2,Lebanon,13,Lebanon,75,Iraq,24,Jordan,16,Israel,12,Lebanon,34,Micronesia,1,Algeria,10,Syria,201,Syria,174,Israel,16,Lebanon,94,Lebanon,18,Hungary,2,Kuwait,2,Iraq,16,West Bank,2,Iraq,13,Iraq,6,Jordan,40,Jordan,22,Uganda,1,Jordan,117,Uganda,1,Jordan,26,Lebanon,61,Jordan,14,Lebanon,44,Egypt,4,United Kingdom,1,Lebanon,10,Lebanon,84,Lebanon,47,Turkey,32,Lebanon,43,Iraq,16,Sudan,3,United States,12,United Kingdom,6,Lebanon,47,Jordan,13,Jordan,30,Israel,2,Turkey,18,Jordan,16,Central African Republic,1,Israel,11,Egypt,33,Turkmenistan,1,Egypt,2,Iraq,13,Egypt,9,Jordan,32,Saudi Arabia,1,Lebanon,37,United Arab Emirates,4,Turkey,54,United States,13,Afghanistan,1,Lebanon,35,Kuwait,1,Jordan,31,Jordan,48,Kuwait,11,Israel,45,Turkey,18,United States,11,Burundi,1,Turkey,16,Lebanon,16,Germany,9,Jordan,28,Azerbaijan,1,Lebanon,20,Turkey,40,United Kingdom,8,Lebanon,15,United States,10,Iraq,9,Turkey,27,Turkey,42,Greece,77,Hungary,76,United States,212,Lebanon,121,Turkey,111,Iraq,22,Israel,9,Syria,519,Switzerland,1,Israel,8,Iraq,21,United Kingdom,118,Cuba,11,Canada,207,United States,597,Jordan,71,United States,180
Azerbaijan,2,Lebanon,14,Lebanon,10,Gaza Strip,1,Tunisia,4,United States,3,Israel,9,Somalia,6,Iraq,5,Turkey,10,Libya,3,Lebanon,28,United States,4,Jordan,26,Israel,15,Canada,1,Egypt,5,Lebanon,11,Iraq,92,Egypt,12,Hungary,2,Italy,9,Lebanon,37,United States,39,Jordan,25,Lebanon,39,Jordan,8,Italy,4,Lebanon,29,France,5,Turkey,16,Lebanon,57,Afghanistan,2,Jordan,38,Egypt,10,Kuwait,2,Iraq,9,Israel,13,France,3,United Kingdom,22,United States,13,Bulgaria,6,Lebanon,27,United Arab Emirates,1,Israel,5,Italy,1,Lebanon,29,Russia,6,United Arab Emirates,3,Israel,9,Turkey,26,France,2,Egypt,1,Bulgaria,2,Iraq,14,Jordan,29,Lebanon,26,France,3,Lebanon,23,Israel,35,Ukraine,2,Israel,15,Egypt,2,Jordan,7,United States,1,Kuwait,1,Iraq,16,Lebanon,28,United Kingdom,5,Turkey,85,United States,77,France,7,Iraq,21,Egypt,2,Turkey,39,Germany,1,Lebanon,15,Iraq,11,Oceans,12,Lebanon,91,Norway,4,Libya,1,Lebanon,17,United Kingdom,1,Lebanon,45,Czech Republic,10,United States,14,Japan,1,Jordan,27,Australia,1,United States,13,Turkey,35,Jordan,36,Egypt,5,Turkey,32,Egypt,11,Jordan,15,Iraq,16,Bulgaria,2,Lebanon,21,United States,3,Italy,2,Malta,1,Germany,4,Iraq,26,Canada,1,Jordan,52,United States,4,Iraq,9,Turkey,77,Jordan,25,Greece,9,Lebanon,23,United States,15,Germany,103,Canada,236,United Kingdom,111,Germany,75,Greece,26,Germany,21,Turkey,72,Turkey,65,Canada,54,Pakistan,1,Canada,229,Canada,520,Jordan,114,Canada,555,Germany,16,Greece,13
Jordan,8,United States,1,France,2,Iraq,2,Libya,4,Turkey,39,Turkey,2,Gaza Strip,3,Syria,36,Russia,13,Lebanon,78,Jordan,30,Russia,6,United States,5,France,4,Israel,61,Lebanon,12,Turkey,7,Jordan,24,Israel,15,United States,59,Turkey,17,Italy,10,Israel,3,Lebanon,33,Turkey,11,United Kingdom,5,Kuwait,5,United States,8,Lebanon,38,France,6,Germany,5,Turkey,7,Iran,6,Lebanon,62,Israel,10,United Kingdom,4,United Kingdom,5,United Kingdom,9,Jordan,35,Israel,22,Saudi Arabia,4,Turkey,18,United States,12,Bulgaria,1,Jordan,16,United States,6,Lebanon,69,United States,8,Jordan,30,Jordan,74,Lebanon,24,Lebanon,13,Israel,22,Israel,41,Saudi Arabia,10,Italy,3,Kuwait,8,United States,8,Turkey,7,Iraq,11,Turkey,49,Iraq,15,Turkey,12,Iraq,46,Iraq,42,Jordan,18,Turkey,20,Sweden,3,Jordan,18,France,33,Iraq,9,Lebanon,37,Iraq,11,Iraq,6,Israel,4,Libya,1,Jordan,22,Turkey,102,Iraq,37,United Kingdom,6,Israel,8,United Kingdom,4,Sweden,5,Egypt,5,Turkey,15,Turkey,37,Kuwait,2,United States,122,Iraq,4,Jordan,21,United Kingdom,4,Italy,2,Lebanon,24,Ireland,2,Iraq,22,Lebanon,22,Jordan,14,Armenia,2,Iraq,19,Israel,10,Turkey,18,Jordan,14,Turkey,42,Jordan,26,United States,8,Lebanon,39,Iraq,11,Turkey,21,Lebanon,28,Turkey,47,Lebanon,27,Libya,6,Hungary,19,Greece,61,Austria,27,Canada,71,Brazil,3,United States,123,Turkey,94,Canada,33,Iran,4,Jordan,38,Iran,1,France,572,Turkey,159,United States,670,Germany,23,Russia,8,Iraq,26
Iraq,3,Turkey,11,Somalia,13,Israel,6,Jordan,9,Iran,7,United States,2,Turkey,6,Jordan,5,Afghanistan,1,Mali,2,Sudan,1,Iraq,3,Turkey,9,Iraq,26,Lebanon,47,Turkey,12,Jordan,12,Lebanon,11,Lebanon,31,Lebanon,81,Lebanon,31,Iraq,9,Turkey,7,Libya,1,Italy,3,West Bank,4,Russia,3,Jordan,64,United States,6,Jordan,25,Bahrain,1,Mali,1,Turkey,23,Jordan,25,Iraq,11,Armenia,2,Jordan,32,Kuwait,10,West Bank,1,Turkey,17,Egypt,3,United States,8,Turkey,11,Jordan,14,Turkey,9,Iraq,4,Turkey,34,Jordan,69,Turkey,5,Lebanon,36,Turkey,7,Turkey,17,Lebanon,30,Uruguay,1,Lebanon,79,Saudi Arabia,2,Turkey,11,Russia,3,Thailand,1,Australia,1,Iraq,13,Jordan,12,Iraq,7,United Kingdom,3,United States,4,Turkey,40,Uruguay,2,Turkey,14,United Kingdom,2,Germany,5,Turkey,38,United States,16,Lebanon,41,Lebanon,46,Egypt,2,Israel,5,Lebanon,21,United States,14,Australia,3,Lebanon,46,Jordan,19,United States,11,Italy,10,West Bank,12,Pakistan,2,Kuwait,7,Israel,5,Lebanon,9,Turkey,17,Lebanon,25,Iraq,8,Lebanon,25,Kuwait,10,Pakistan,1,Jordan,31,Kuwait,1,Israel,40,Israel,10,Turkey,23,Lebanon,51,Libya,8,Turkey,26,France,1,Germany,4,Pakistan,6,Iraq,12,Turkey,38,Jordan,18,Israel,9,Lebanon,18,Jordan,17,New Zealand,1,Serbia,7,Iceland,20,France,32,United States,182,Israel,33,Lebanon,56,Canada,31,Belgium,7,Belgium,2,Antigua and Barbuda,1,Afghanistan,12,Iran,15,United Kingdom,62,Mexico,9,United Arab Emirates,4,Iraq,23,Turkey,44
Libya,4,Canada,2,Turkey,2,Lebanon,3,Russia,4,Israel,2,Jordan,4,Jordan,15,Turkey,3,Germany,3,Ireland,1,Saudi Arabia,1,Kuwait,1,Iraq,7,Jordan,64,Egypt,25,United States,5,Iraq,3,Gibraltar,1,Ireland,4,Iraq,40,Bulgaria,18,United States,28,Jordan,27,United States,2,Jordan,39,Lebanon,25,Jordan,35,Turkey,29,Sweden,1,Kuwait,4,Turkey,18,Switzerland,1,Algeria,1,Turkey,28,Lebanon,24,Kuwait,3,Cuba,1,New Zealand,3,Egypt,5,Algeria,4,Turkey,27,United Kingdom,3,Israel,6,Gaza Strip,1,Israel,10,Morocco,1,Qatar,1,Ukraine,1,United Arab Emirates,2,Brazil,1,Israel,38,Iraq,10,Belgium,1,Argentina,2,Iran,3,Israel,2,Israel,5,Kuwait,4,United States,3,Sudan,2,Jordan,20,Iran,1,Israel,1,Jordan,9,Turkmenistan,1,Israel,11,Italy,3,Jordan,13,Lebanon,44,Lebanon,65,Jordan,14,United Kingdom,2,Turkey,40,Qatar,1,Jordan,1,Kuwait,4,Turkey,52,Italy,4,Jordan,67,United States,5,Kuwait,2,Canada,4,Malta,3,Israel,10,West Bank,3,Jordan,21,Turkey,51,Pakistan,1,Israel,6,Greece,3,Jordan,19,United States,13,United States,6,Bangladesh,1,Lebanon,18,United Kingdom,3,Kuwait,3,Belgium,1,United Kingdom,5,Germany,18,Morocco,2,Greece,4,United States,8,Lebanon,48,Bulgaria,1,Sudan,1,Lebanon,20,Israel,3,Sweden,6,Germany,9,Libya,1,Japan,2,Turkey,39,New Zealand,29,Germany,126,Belgium,9,Jordan,73,Czech Republic,1,United States,46,Vietnam,2,Hungary,6,Greece,22,Turkey,96,Germany,64,France,201,Germany,18,Armenia,8,Canada,224,Afghanistan,4
Lebanon,6,Egypt,1,Iran,4,Iran,2,United States,3,Chad,4,South Korea,4,Lebanon,10,Iran,2,Egypt,1,Israel,10,Russia,4,Turkey,13,Lebanon,23,Iran,2,Japan,6,Switzerland,1,Brazil,1,Russia,20,Russia,16,Malta,4,Russia,14,Jordan,32,Libya,6,Russia,3,Iran,10,Israel,12,Egypt,18,Australia,1,Pakistan,2,West Bank,5,Egypt,52,United Kingdom,1,Switzerland,1,Israel,2,Bulgaria,7,Lebanon,22,Democratic Republic of the Congo,1,Oman,1,Sweden,2,United Kingdom,3,India,1,Russia,1,Egypt,3,France,7,Iraq,9,Turkey,15,Egypt,7,Libya,1,United States,6,Sweden,3,Qatar,1,Israel,8,Iraq,8,West Bank,3,United States,22,Turkey,20,Iraq,25,Turkey,4,Egypt,2,Jordan,29,Lebanon,39,Israel,8,France,1,Armenia,1,Jordan,14,Canada,1,United States,4,France,4,Malta,2,Iraq,29,United States,20,Turkey,47,United States,3,Taiwan,1,United Kingdom,3,Iraq,14,Australia,1,Kuwait,6,Somalia,1,Sudan,10,Finland,1,Taiwan,1,Iraq,9,Canada,9,Israel,1,West Bank,1,Germany,1,Israel,9,Cuba,1,Egypt,3,Egypt,9,Iraq,19,Iraq,8,Israel,19,Israel,91,Canada,1,United States,11,Qatar,2,United States,4,Somalia,1,United Kingdom,1,Eritrea,1,Italy,3,Lithuania,2,Jordan,13,Denmark,1,Kuwait,3,Saudi Arabia,1,Jordan,15,Sweden,2,Egypt,4,United States,4,China,14,United States,40,United Kingdom,217,Sweden,5,Lebanon,81,Venezuela,1,Malaysia,7,Greece,13,Iraq,44,United Kingdom,21,United States,60,Lebanon,79,Egypt,15,Norway,1,Jordan,123,Turkey,90,Canada,256
